time,ax,ay,az,aMagnitude,Activity
0,0.027848184,-0.010253549,0.002645493,0.029793544,NO_ACTIVITY
1,0.002528816,0.003806114,0.046238899,0.04646415,NO_ACTIVITY
2,0.007405192,0.002500057,0.024446487,0.0256655,NO_ACTIVITY
3,-0.041386664,-0.01795578,0.008748055,0.045954265,NO_ACTIVITY
4,-0.009029955,0.003304005,-0.029392242,0.030925078,NO_ACTIVITY
5,-0.024658024,-0.022040606,0.015913963,0.036702325,NO_ACTIVITY
6,-0.012687624,-0.003143787,-0.003284454,0.013477642,NO_ACTIVITY
7,-0.008087158,-0.008056879,-0.022293091,0.025045904,NO_ACTIVITY
8,0.001056284,0.004937172,-0.013805389,0.014699666,NO_ACTIVITY
9,-0.005228847,-0.013130426,-0.00184536,0.01425322,NO_ACTIVITY
10,0.014574677,0.017695427,0.005278587,0.023524728,NO_ACTIVITY
11,-0.008265495,-0.008692503,0.012343407,0.017211557,NO_ACTIVITY
12,0.011914849,-0.018850803,0.013115883,0.02587166,NO_ACTIVITY
13,-0.005998522,0.003121614,0.040723801,0.041281408,NO_ACTIVITY
14,0.025554925,-0.021564007,-0.014166832,0.036314731,NO_ACTIVITY
15,-0.026811838,0.039260149,-0.017601967,0.050695791,NO_ACTIVITY
16,-0.020448416,0.020073652,-0.029309273,0.0409893,NO_ACTIVITY
17,0.019198477,0.020156622,-0.015955925,0.032085238,NO_ACTIVITY
18,-0.013860077,-0.017796278,-0.009848595,0.024613087,NO_ACTIVITY
19,0.003400922,-0.010245085,-0.047735214,0.048940563,NO_ACTIVITY
20,-0.020916432,0.01374197,-0.004573822,0.02544128,NO_ACTIVITY
21,-0.036814064,-0.031228065,-0.009248734,0.049152888,NO_ACTIVITY
22,-0.027619839,-0.017672539,-0.003206253,0.032946232,NO_ACTIVITY
23,-0.016076267,0.001582146,-0.004371643,0.016735017,NO_ACTIVITY
24,0.001172423,0.001618385,0.032475471,0.032536902,NO_ACTIVITY
25,0.027160108,-0.018319607,-0.004752159,0.033103814,NO_ACTIVITY
26,-0.035388529,0.007591724,0.019138336,0.040942132,NO_ACTIVITY
27,0.019102484,-0.002249479,0.034788132,0.039751467,NO_ACTIVITY
28,0.01771903,-0.02161479,0.029403687,0.040567721,NO_ACTIVITY
29,-0.003156215,0.008409262,-0.002352715,0.009285076,NO_ACTIVITY
30,-0.025497794,-0.006374836,-0.02021122,0.033155233,NO_ACTIVITY
31,0.024827003,0.001426697,-0.035571098,0.043401827,NO_ACTIVITY
32,0.001155376,0.008004189,0.002651215,0.008510633,NO_ACTIVITY
33,-0.030756593,0.003807306,-0.003394127,0.031176653,NO_ACTIVITY
34,-0.011231601,0.003237963,-0.009386063,0.014991045,NO_ACTIVITY
35,-0.014443457,0.011170626,-0.011723518,0.021698784,NO_ACTIVITY
36,0.017033637,0.013178349,0.022789955,0.031355952,NO_ACTIVITY
37,0.005573601,0.003161669,-0.011910439,0.013524782,NO_ACTIVITY
38,0.006327182,0.042117119,0.02735424,0.05061758,NO_ACTIVITY
39,0.052474856,0.012062788,0.043759346,0.069383008,NO_ACTIVITY
40,0.020223111,0.002433538,0.039862633,0.04476523,NO_ACTIVITY
41,0.000958145,0.016706467,-0.000554085,0.016743091,NO_ACTIVITY
42,0.01303193,0.008182764,-0.003158569,0.015708768,NO_ACTIVITY
43,0.027460426,0.032126188,0.018292427,0.046051926,NO_ACTIVITY
44,0.010959536,0.016619921,0.012231827,0.02336559,NO_ACTIVITY
45,0.045764953,0.048761606,-0.041292191,0.078594975,NO_ACTIVITY
46,0.033876836,0.026040316,0.014918327,0.045258088,NO_ACTIVITY
47,0.015049011,0.061705589,-0.012488365,0.0647303,NO_ACTIVITY
