ax,ay,az,gx,gy,gz,aMagnitude,gMagnitude,Activity
0.027848184,-0.010253549,0.002645493,0.953646183,0.228875071,0.305166781,0.029793544,1.02710837,NO_ACTIVITY
0.002528816,0.003806114,0.046238899,0.038145848,0.106808379,0.122066714,0.04646415,0.166623582,NO_ACTIVITY
0.007405192,0.002500057,0.024446487,0.404345989,-0.137325048,0.0,0.0256655,0.427029095,NO_ACTIVITY
-0.041386664,-0.01795578,0.008748055,0.282279283,-0.076291695,0.0,0.045954265,0.292407278,NO_ACTIVITY
-0.009029955,0.003304005,-0.029392242,0.465379357,-0.381458491,0.122066714,0.030925078,0.613994144,NO_ACTIVITY
-0.024658024,-0.022040606,0.015913963,0.343312621,-0.198358402,0.183100075,0.036702325,0.436732468,NO_ACTIVITY
-0.012687624,-0.003143787,-0.003284454,0.221245915,-0.381458491,0.061033357,0.013477642,0.445180195,NO_ACTIVITY
-0.008087158,-0.008056879,-0.022293091,0.099179201,-0.564558566,-0.061033357,0.025045904,0.576444237,NO_ACTIVITY
0.001056284,0.004937172,-0.013805389,0.160212561,-0.503525198,0.183100075,0.014699666,0.559223861,NO_ACTIVITY
-0.005228847,-0.013130426,-0.00184536,0.221245915,-0.381458491,0.0,0.01425322,0.44097657,NO_ACTIVITY
0.014574677,0.017695427,0.005278587,0.099179201,-0.137325048,0.061033357,0.023524728,0.180054862,NO_ACTIVITY
-0.008265495,-0.008692503,0.012343407,0.099179201,-0.198358402,0.061033357,0.017211557,0.230016608,NO_ACTIVITY
0.011914849,-0.018850803,0.013115883,0.038145848,0.350941777,-0.305166781,0.02587166,0.466628333,NO_ACTIVITY
-0.005998522,0.003121614,0.040723801,-0.022887509,-0.198358402,-0.183100075,0.041281408,0.270916096,NO_ACTIVITY
0.025554925,-0.021564007,-0.014166832,-0.083920866,0.106808379,-0.061033357,0.036314731,0.148915454,NO_ACTIVITY
-0.026811838,0.039260149,-0.017601967,-0.144954219,0.228875071,-0.244133428,0.050695791,0.364687064,NO_ACTIVITY
-0.020448416,0.020073652,-0.029309273,-0.267020941,0.228875071,-0.122066714,0.0409893,0.372269074,NO_ACTIVITY
0.019198477,0.020156622,-0.015955925,-0.267020941,0.473008543,-0.061033357,0.032085238,0.546591562,NO_ACTIVITY
-0.013860077,-0.017796278,-0.009848595,-0.389087647,0.656108558,-0.244133428,0.024613087,0.800917454,NO_ACTIVITY
0.003400922,-0.010245085,-0.047735214,-0.205987573,0.717141926,-0.122066714,0.048940563,0.756058004,NO_ACTIVITY
-0.020916432,0.01374197,-0.004573822,-0.328054279,0.656108558,-0.061033357,0.02544128,0.736086354,NO_ACTIVITY
-0.036814064,-0.031228065,-0.009248734,-0.083920866,0.839208663,0.122066714,0.049152888,0.852182007,NO_ACTIVITY
-0.027619839,-0.017672539,-0.003206253,-0.144954219,0.534041882,0.183100075,0.032946232,0.582870564,NO_ACTIVITY
-0.016076267,0.001582146,-0.004371643,0.038145848,0.473008543,0.122066714,0.016735017,0.489992317,NO_ACTIVITY
0.001172423,0.001618385,0.032475471,-0.144954219,0.167841733,0.061033357,0.032536902,0.230016616,NO_ACTIVITY
0.027160108,-0.018319607,-0.004752159,-0.267020941,-0.137325048,-0.244133428,0.033103814,0.386987703,NO_ACTIVITY
-0.035388529,0.007591724,0.019138336,0.282279283,0.228875071,0.305166781,0.040942132,0.474544156,NO_ACTIVITY
0.019102484,-0.002249479,0.034788132,0.038145848,0.167841733,-0.305166781,0.039751467,0.350360838,NO_ACTIVITY
0.01771903,-0.02161479,0.029403687,-0.144954219,0.411975145,-0.244133428,0.040567721,0.500336264,NO_ACTIVITY
-0.003156215,0.008409262,-0.002352715,0.526412725,-1.052825451,-0.183100075,0.009285076,1.191250362,NO_ACTIVITY
-0.025497794,-0.006374836,-0.02021122,0.770546138,-1.1138587,-0.183100075,0.033155233,1.366729012,NO_ACTIVITY
0.024827003,0.001426697,-0.035571098,0.648479402,-1.1138587,-0.183100075,0.043401827,1.301818872,NO_ACTIVITY
0.001155376,0.008004189,0.002651215,0.648479402,-1.235925555,-0.244133428,0.008510633,1.416911657,NO_ACTIVITY
-0.030756593,0.003807306,-0.003394127,0.587446034,-1.052825451,-0.122066714,0.031176653,1.211789815,NO_ACTIVITY
-0.011231601,0.003237963,-0.009386063,0.404345989,-0.930758715,-0.061033357,0.014991045,1.016628022,NO_ACTIVITY
-0.014443457,0.011170626,-0.011723518,0.282279283,-0.808691978,-0.122066714,0.021698784,0.865196274,NO_ACTIVITY
0.017033637,0.013178349,0.022789955,0.587446034,-0.625591934,0.0,0.031355952,0.858171376,NO_ACTIVITY
0.005573601,0.003161669,-0.011910439,0.160212561,-0.381458491,0.122066714,0.013524782,0.431368668,NO_ACTIVITY
0.006327182,0.042117119,0.02735424,-0.022887509,-0.076291695,-0.061033357,0.05061758,0.100346059,NO_ACTIVITY
0.052474856,0.012062788,0.043759346,0.038145848,-0.015258339,0.061033357,0.069383008,0.073573047,NO_ACTIVITY
0.020223111,0.002433538,0.039862633,-0.022887509,0.289908439,-0.366200149,0.04476523,0.46762516,NO_ACTIVITY
0.000958145,0.016706467,-0.000554085,-0.022887509,0.167841733,0.122066714,0.016743091,0.20879408,NO_ACTIVITY
0.01303193,0.008182764,-0.003158569,-0.450120986,0.411975145,0.0,0.015708768,0.61019048,NO_ACTIVITY
0.027460426,0.032126188,0.018292427,-0.083920866,0.411975145,0.061033357,0.046051926,0.42484268,NO_ACTIVITY
0.010959536,0.016619921,0.012231827,-0.267020941,0.473008543,0.305166781,0.02336559,0.623028113,NO_ACTIVITY
0.045764953,0.048761606,-0.041292191,-0.389087647,0.411975145,-0.122066714,0.078594975,0.579666283,NO_ACTIVITY
0.033876836,0.026040316,0.014918327,-0.389087647,0.534041882,-0.183100075,0.045258088,0.68564974,NO_ACTIVITY
0.015049011,0.061705589,-0.012488365,-0.389087647,0.59507519,0.0,0.0647303,0.710987819,NO_ACTIVITY
0.03665629,0.018838167,0.020949364,-0.572187722,0.350941777,-0.244133428,0.046232413,0.714254892,NO_ACTIVITY
0.049684256,0.019165516,-0.042078018,-0.450120986,0.473008543,-0.488266855,0.067870479,0.815322332,NO_ACTIVITY
0.023429751,-0.003215313,-0.021468163,-0.389087647,0.350941777,-0.366200149,0.031940155,0.63925885,NO_ACTIVITY
0.018773854,0.036381483,0.047673225,-0.511154354,0.411975145,-0.427233517,0.062839528,0.783282051,NO_ACTIVITY
0.028416038,0.010321617,0.020029068,-0.205987573,0.289908439,-0.244133428,0.03626528,0.431368652,NO_ACTIVITY
0.009382397,0.020153761,0.029144287,-0.144954219,0.167841733,0.061033357,0.036655053,0.230016616,NO_ACTIVITY
-0.001147032,-0.025789976,0.034827232,0.526412725,-0.869725347,-0.122066714,0.043351755,1.023930085,NO_ACTIVITY
-0.038409799,0.005101919,0.003515244,0.038145848,-0.015258339,0.305166781,0.038906287,0.307919936,NO_ACTIVITY
-0.046042353,0.052531481,0.033259392,-0.083920866,-0.320425123,0.305166781,0.07736693,0.450379546,NO_ACTIVITY
0.010245532,0.016234398,0.022615433,-0.328054279,-0.320425123,-0.061033357,0.029664531,0.46261965,NO_ACTIVITY
-0.034106016,-0.000304699,0.018929482,-0.267020941,-0.503525198,-0.061033357,0.039008184,0.573204046,NO_ACTIVITY
-0.018824995,0.009426355,-0.000160217,-0.205987573,-0.259391785,0.0,0.021053795,0.331232514,NO_ACTIVITY
-0.027236581,-0.001088381,-0.006028175,-0.389087647,-0.015258339,0.0,0.027916927,0.389386715,NO_ACTIVITY
-0.035361648,0.003874063,0.035642624,-0.511154354,0.106808379,0.0,0.050357235,0.52219422,NO_ACTIVITY
-0.006487012,-0.026599884,-0.003753662,-0.267020941,0.045775019,0.0,0.027635577,0.270916104,NO_ACTIVITY
-0.021806568,-0.020132065,0.005846977,-0.511154354,0.350941777,0.0,0.030249191,0.620031374,NO_ACTIVITY
0.023867071,0.001775742,-0.027393341,-0.328054279,0.411975145,0.061033357,0.036375616,0.530158657,NO_ACTIVITY
-0.034131348,-0.027648449,-0.028306007,-0.328054279,0.59507519,0.0,0.052255294,0.679510185,NO_ACTIVITY
0.022492677,-0.068655968,-0.029205322,-0.328054279,0.656108558,0.122066714,0.077926332,0.743638577,NO_ACTIVITY
0.025271922,-0.048793316,-0.025360107,-0.205987573,0.534041882,0.183100075,0.060519359,0.6009636,NO_ACTIVITY
-0.037352026,0.016294241,0.044338226,-0.022887509,-0.259391785,0.183100075,0.06022088,0.318329347,NO_ACTIVITY
0.030316532,-0.011355162,-0.016809464,-0.328054279,0.717141926,0.061033357,0.036477251,0.790972328,NO_ACTIVITY
-0.0059295,-0.03079772,-0.005910873,0.038145848,0.473008543,0.061033357,0.031915466,0.478452984,NO_ACTIVITY
-0.010183543,-0.017481089,0.028561592,0.099179201,0.228875071,0.061033357,0.035000822,0.256798331,NO_ACTIVITY
-0.012283444,-0.030510664,0.012848854,0.038145848,0.045775019,0.061033357,0.035311141,0.08529671,NO_ACTIVITY
-0.002546757,-0.011231184,-0.035957336,0.038145848,-0.015258339,0.0,0.037756529,0.041084335,NO_ACTIVITY
0.002220154,0.01614809,-0.003595352,0.099179201,-0.442491829,0.061033357,0.016691808,0.457559399,NO_ACTIVITY
0.00548175,-0.004235983,0.009500504,0.465379357,-0.381458491,0.061033357,0.011758091,0.604825262,NO_ACTIVITY
-0.028148353,0.017990828,0.01885128,0.282279283,-0.564558566,0.122066714,0.038358447,0.642890543,NO_ACTIVITY
-0.010517269,0.023537874,0.024595261,0.343312621,-0.686625242,-0.061033357,0.035631044,0.770092754,NO_ACTIVITY
-0.014635384,0.032546759,0.002971649,0.465379357,-0.74765861,0.061033357,0.035809449,0.88277767,NO_ACTIVITY
-0.006809115,0.008066177,-0.013759613,0.282279283,-0.503525198,-0.122066714,0.017342267,0.590016526,NO_ACTIVITY
-0.022754788,0.017252207,0.012454033,0.526412725,-0.74765861,0.183100075,0.031153202,0.932539218,NO_ACTIVITY
0.033056349,-0.04782176,-0.007135391,-0.022887509,0.473008543,0.122066714,0.058570955,0.489041105,NO_ACTIVITY
-0.027310669,-0.008057117,-0.013159752,0.038145848,-0.015258339,0.183100075,0.031368278,0.187652764,NO_ACTIVITY
-0.030341446,-0.025589228,0.006354332,-0.083920866,-0.137325048,-0.122066714,0.040196884,0.201992978,NO_ACTIVITY
-0.012761772,-0.010358572,0.033926964,0.038145848,0.106808379,0.061033357,0.037698829,0.12879521,NO_ACTIVITY
-0.043497235,0.024778605,-0.003828049,0.099179201,-0.198358402,0.244133428,0.050206002,0.329823741,NO_ACTIVITY
-0.029160291,-0.015915632,0.006882668,0.160212561,-0.503525198,0.244133428,0.033926406,0.582071147,NO_ACTIVITY
-0.015047997,-0.002821684,-0.00624752,0.099179201,-0.442491829,0.183100075,0.016535889,0.489041072,NO_ACTIVITY
-0.024691492,0.001825333,0.004478455,0.038145848,-0.442491829,0.305166781,0.025160648,0.538870011,NO_ACTIVITY
-0.036754936,0.025517702,0.00682354,0.221245915,-0.198358402,0.305166781,0.045261895,0.425937289,NO_ACTIVITY
-0.049786866,0.01211071,-0.000377655,-0.144954219,-0.320425123,0.183100075,0.051240062,0.396496687,NO_ACTIVITY
-0.017496079,0.013200045,0.005574226,-0.022887509,-0.320425123,0.122066714,0.022614729,0.343651539,NO_ACTIVITY
0.004940748,0.025017262,-0.000388145,0.160212561,-0.198358402,0.183100075,0.025503432,0.313910429,NO_ACTIVITY
0.029691607,-0.019300938,0.001960754,-0.144954219,-0.320425123,0.061033357,0.035467764,0.356944051,NO_ACTIVITY
0.020899802,-0.022602797,-0.036031723,-0.022887509,-0.320425123,-0.122066714,0.0473917,0.343651539,NO_ACTIVITY
0.026337951,0.001407623,-0.051141739,-0.144954219,-0.076291695,-0.305166781,0.057542563,0.346350852,NO_ACTIVITY
-0.010188311,-0.012624741,-0.003175735,-0.083920866,-0.076291695,0.061033357,0.016530912,0.128795206,NO_ACTIVITY
0.021234959,-0.006855726,-0.037630081,0.099179201,-0.320425123,-0.183100075,0.043748686,0.382144489,NO_ACTIVITY
0.055835158,0.011159182,-0.039478302,-0.083920866,-0.015258339,-0.183100075,0.069286568,0.201992985,NO_ACTIVITY
0.068381727,-0.017246246,-0.047416687,-0.267020941,-0.076291695,-0.305166781,0.084981385,0.412610433,NO_ACTIVITY
